Unnamed: 0,Name,Team & Contract,ID,Height,Weight,foot,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,Attacking work rate,Defensive work rate,Unnamed: 23
,V. Hladký GK,Burnley 2024 ~ 2029,202617,"192cm 6'4""",80kg 176lbs,Right,56,52,27,66,28,51,65,23,23,67,67,68,3,1,,,
,J. Soler LB LM,AFC Bournemouth 2025 ~ 2029,269796,"175cm 5'9""",63kg 139lbs,Left,75,75,60,55,64,52,60,67,65,5,6,9,3,2,,,
,N. Ahamada CM CAM CDM,AJ Auxerre 2026 ~ 2027,259205,"183cm 6'0""",73kg 161lbs,Right,74,61,64,58,64,72,62,67,59,13,9,5,3,2,,,
,F. Oppegård LB LM,AJ Auxerre 2025 ~ 2028,260100,"175cm 5'9""",67kg 148lbs,Left,80,80,69,63,63,60,62,65,63,9,8,6,4,3,,,
,T. De Percin GK,AJ Auxerre 2021 ~ 2029,263402,"185cm 6'1""",81kg 179lbs,Right,25,18,27,64,11,30,40,11,14,71,65,65,3,1,,,
,L. Coulibaly RM RW,AJ Auxerre 2024 ~ 2028,263421,"176cm 5'9""",70kg 154lbs,Right,91,89,63,60,21,61,66,36,44,8,15,9,3,3,,,
,L. Sy RB RM,AJ Auxerre 2025 ~ 2029,268440,"174cm 5'9""",65kg 143lbs,Right,86,79,69,48,64,41,63,66,68,14,8,8,3,2,,,
,A. Bermont LM LW,RC Lens 2024 ~ 2029,70005,"176cm 5'9""",63kg 139lbs,Right,75,74,81,49,44,65,69,56,45,6,9,7,3,3,,,
,N. Edjouma RM CAM RW,Lille OSC 2026 ~ 2030,278207,"181cm 5'11""",73kg 161lbs,Right,70,69,65,53,21,59,63,26,33,9,6,12,3,3,,,
,Mathys De Carvalho CDM CM,Olympique Lyonnais 2025 ~ 2028,80690,"183cm 6'0""",73kg 161lbs,Right,57,61,69,60,64,68,66,67,65,9,11,9,3,2,,,
,R. Himbert ST RW LW RM,Olympique Lyonnais 2026 ~ 2028,83214,"178cm 5'10""",66kg 146lbs,Right,74,75,60,61,26,55,61,38,35,8,14,12,3,3,,,
,U. Mboula CB,FC Metz 2025 ~ 2028,77149,"185cm 6'1""",78kg 172lbs,Left,63,64,59,72,68,42,56,72,69,11,12,11,2,2,,,
,S. Idumbo LM LW,AS Monaco 2025 ~ 2030,70893,"171cm 5'7""",61kg 134lbs,Right,75,80,66,53,20,66,63,15,12,9,13,6,3,3,,,
,D. Tabibou CM RM RW CDM,FC Nantes 2024 ~ 2030,70477,"181cm 5'11""",71kg 157lbs,Left,67,67,67,58,52,70,71,59,53,13,13,10,2,4,,,
,M. Kaba CDM CM,"FC Nantes Jun 30, 2026 On loan",263469,"185cm 6'1""",78kg 172lbs,Right,57,65,68,73,67,59,63,64,62,8,10,9,3,2,,,
,M. Nagida LB RB LM,Stade Rennais FC 2023 ~ 2029,279557,"176cm 5'9""",74kg 163lbs,Left,75,78,62,51,63,51,58,68,67,15,13,8,2,2,,,
,B. Leroy GK,FC Lorient 2024 ~ 2029,197641,"184cm 6'0""",75kg 165lbs,Right,46,46,28,40,15,53,60,12,17,65,66,69,3,1,,,
,L. Zogbé RB LB RM,Stade Brestois 29 2023 ~ 2029,279573,"178cm 5'10""",70kg 154lbs,Right,69,63,69,59,65,39,49,71,63,11,7,9,3,2,,,
,G. Kyeremeh RM LM ST RW,Le Havre AC 2025 ~ 2027,253074,"175cm 5'9""",60kg 132lbs,Right,90,83,57,38,29,63,62,41,43,11,6,7,4,3,,,
,S. Ebonog CM CDM,Le Havre AC 2022 ~ 2027,271252,"180cm 5'11""",70kg 154lbs,Right,70,68,66,64,69,69,63,69,58,9,6,10,3,2,,,
,M. Sauer CM CAM CDM,Toulouse FC 2025 ~ 2028,79390,"180cm 5'11""",73kg 161lbs,Right,74,70,81,57,51,69,64,58,48,8,14,14,3,3,,,
,A. Francis CM CDM,Toulouse FC 2025 ~ 2029,251845,"184cm 6'0""",72kg 159lbs,Right,72,72,66,71,66,69,68,68,67,10,12,13,3,3,,,
,J. Russell-Rowe ST CAM,Toulouse FC 2026 ~ 2030,269923,"183cm 6'0""",73kg 161lbs,Right,75,77,60,78,22,54,63,13,17,13,10,12,4,2,,,
,T. Ollila LB LM,Paris FC 2024 ~ 2027,272599,"174cm 5'9""",68kg 150lbs,Left,78,80,69,66,59,56,60,68,64,6,12,14,2,2,,,
,N. Katterbach LB RM LM,Hamburger SV 2024 ~ 2027,246666,"180cm 5'11""",73kg 161lbs,Left,72,66,52,54,67,53,70,68,67,12,13,10,2,3,,,
,J. Simpson-Pusey CB,"1. FC Köln Jun 30, 2026 On loan",75577,"187cm 6'2""",79kg 174lbs,Right,66,67,61,73,67,49,67,69,68,14,10,6,3,2,,,
,L. Kilian CB,1. FC Köln 2022 ~ 2029,248878,"192cm 6'4""",91kg 201lbs,Right,45,55,34,79,67,52,67,70,69,10,8,9,3,2,,,
,K. Topp ST CAM,SV Werder Bremen 2024 ~ 2028,265749,"192cm 6'4""",94kg 207lbs,Right,55,64,56,88,23,48,54,30,20,14,7,12,4,2,,,
,K. Potulski CB,1. FSV Mainz 05 2025 ~ 2028,81427,"195cm 6'5""",85kg 187lbs,Right,54,65,61,79,71,32,48,68,62,6,8,12,3,2,,,
,K. Shiogai ST,VfL Wolfsburg 2026 ~ 2030,74879,"180cm 5'11""",77kg 170lbs,Right,85,84,51,58,13,54,63,14,19,8,7,11,4,2,,,
,J. Seelt CB RB CDM,"VfL Wolfsburg Jun 30, 2026 On loan",266467,"195cm 6'5""",83kg 183lbs,Right,65,65,62,79,62,45,57,70,74,13,10,7,3,2,,,
,L. Philipp GK,TSG 1899 Hoffenheim 2020 ~ 2029,257638,"192cm 6'4""",83kg 183lbs,Right,24,29,20,50,10,37,31,13,11,68,64,69,2,1,,,
,Rodrigo Ribeiro ST CAM LW,"FC Augsburg Jun 30, 2026 On loan",268837,"185cm 6'1""",72kg 159lbs,Right,68,73,60,68,16,69,73,17,15,13,13,9,3,3,,,
,T. Hara ST RW LW,FC St. Pauli 2026 ~ 2028,244089,"190cm 6'3""",84kg 185lbs,Right,58,69,70,80,15,50,66,23,13,14,5,13,4,2,,,
,R. Jones ST LM LW,FC St. Pauli 2025 ~ 2029,254482,"183cm 6'0""",70kg 154lbs,Right,91,95,64,69,28,62,60,25,26,14,7,10,3,3,,,
,M. Kaufmann ST LM RM LW,1. FC Heidenheim 1846 2024 ~ 2028,245264,"190cm 6'3""",81kg 179lbs,Right,78,82,68,75,18,56,65,22,17,14,12,6,3,3,,,
,C. Conteh RM ST CAM RW,1. FC Heidenheim 1846 2026 ~ 2029,248765,"182cm 6'0""",72kg 159lbs,Right,94,91,73,52,19,54,64,31,27,5,14,15,3,3,,,
,S. Sani LW LM,RB Leipzig 2026 ~ 2031,83137,"175cm 5'9""",78kg 172lbs,Right,84,73,60,62,34,63,64,21,23,11,11,11,4,4,,,
,R. Di Gennaro GK,Inter 2023 ~ 2030,219715,"186cm 6'1""",80kg 176lbs,Right,41,45,40,51,23,43,67,18,17,71,67,65,2,1,,,
,P. Ratkov ST,Lazio 2026 ~ 2028,275978,"193cm 6'4""",76kg 168lbs,Right,61,73,66,74,15,58,52,30,32,14,7,14,3,2,,,
,E. Corvi GK,Parma 2022 ~ 2027,271385,"185cm 6'1""",70kg 154lbs,Right,25,26,24,54,6,39,25,17,13,68,64,65,1,1,,,
,B. Cremaschi CM CAM RM,"Parma Jun 30, 2026 On loan",272687,"180cm 5'11""",75kg 165lbs,Right,75,75,60,59,60,72,60,65,63,10,12,12,3,3,,,
,T. Anjorin CM CAM CDM,"Torino Jun 30, 2026 On loan",248474,"185cm 6'1""",81kg 179lbs,Right,73,76,67,73,61,68,69,65,57,11,14,7,3,3,,,
,L. Marianucci CB,"Torino Jun 30, 2026 On loan",278319,"186cm 6'1""",75kg 165lbs,Right,51,42,62,61,69,29,61,71,68,14,8,14,3,2,,,
,K. N'Dri RM RW ST,Lecce 2025 ~ 2027,247668,"174cm 5'9""",73kg 161lbs,Left,89,85,53,54,52,53,63,48,47,6,11,14,3,3,,,
,Þ. Helgason CM CAM,Lecce 2021 ~ 2029,263657,"187cm 6'2""",66kg 146lbs,Right,68,66,71,58,58,70,63,59,55,11,14,13,3,2,,,
,P. Masini CDM CM,Genoa 2022 ~ 2028,276485,"182cm 6'0""",72kg 159lbs,Right,67,68,71,51,63,64,66,69,70,5,10,8,2,2,,,
,A. Calabresi CB RB RM,Pisa 2022 ~ 2030,229574,"186cm 6'1""",75kg 165lbs,Right,34,63,68,77,69,56,67,69,68,6,8,12,3,2,,,
,M. Marin CM CDM,Pisa 2019 ~ 2029,252313,"180cm 5'11""",75kg 165lbs,Right,76,74,88,61,64,68,60,68,66,13,5,13,3,2,,,
,F. Stojilković ST,Pisa 2026 ~ 2029,255562,"186cm 6'1""",80kg 176lbs,Right,84,88,62,70,25,58,60,22,21,12,5,9,4,3,,,
,G. Piccinini CM CDM,Pisa 2021 ~ 2030,268790,"184cm 6'0""",76kg 168lbs,Right,66,65,75,69,62,70,66,64,62,13,15,7,3,2,,,
,M. Faye CB,"Cremonese Jun 30, 2026 On loan",277118,"183cm 6'0""",81kg 179lbs,Left,72,77,66,79,63,44,58,70,63,11,5,9,3,2,,,
,L. Moro ST,Sassuolo 2022 ~ 2027,248787,"189cm 6'2""",79kg 174lbs,Right,64,68,61,70,20,46,58,19,16,11,10,12,4,2,,,
,Thiago Pitarch CM CDM CAM,Real Madrid 2024 ~ 2027,80807,"179cm 5'10""",66kg 146lbs,Right,65,67,70,60,60,76,70,56,49,11,13,12,3,3,,,
,L. Bergström GK,RCD Mallorca 2025 ~ 2027,261375,"205cm 6'9""",82kg 181lbs,Right,26,34,25,65,12,30,35,12,12,66,68,67,2,1,,,
,J. Vertrouwd CB LB LM,Rayo Vallecano 2025 ~ 2030,73316,"188cm 6'2""",77kg 170lbs,Left,77,75,69,73,66,59,59,66,68,8,15,15,3,2,,,
,Paco Cortés LW LM,Levante UD 2024 ~ 2028,72563,"178cm 5'10""",66kg 146lbs,Right,78,75,64,38,27,64,60,37,33,11,9,8,3,4,,,
,Kareem Tunde RW LM RM,Levante UD 2024 ~ 2029,82834,"177cm 5'10""",72kg 159lbs,Left,83,82,64,50,49,67,62,49,38,7,11,5,2,3,,,
,A. Kamara RM RW LM,"Getafe CF Jun 30, 2026 On loan",270379,"186cm 6'1""",81kg 179lbs,Left,87,85,70,61,35,63,64,37,30,14,9,13,3,3,,,
,B. Domingues LM RM CAM LW,Real Oviedo 2025 ~ 2028,257396,"172cm 5'8""",63kg 139lbs,Right,75,73,64,50,34,65,61,42,38,11,7,13,3,3,,,
,T. Heaton GK,Manchester United 2021 ~ 2030,163264,"188cm 6'2""",85kg 187lbs,Right,44,40,20,63,24,48,59,15,13,68,66,68,3,1,,,
,B. Austin GK,Tottenham Hotspur 2016 ~ 2029,236568,"188cm 6'2""",77kg 170lbs,Right,36,49,18,54,11,34,45,12,12,69,65,65,2,1,,,
,M. Ellborg GK,Sunderland 2026 ~ 2030,259987,"191cm 6'3""",84kg 185lbs,Right,39,44,27,44,8,33,39,12,11,67,65,67,1,1,,,
,M. Caillard GK,Lille OSC 2024 ~ 2029,211398,"192cm 6'4""",88kg 194lbs,Right,48,39,33,75,15,35,53,15,9,67,66,68,3,1,,,
,A. Touré CDM CM,FC Metz 2024 ~ 2028,73485,"180cm 5'11""",68kg 150lbs,Left,65,69,67,61,68,60,59,70,71,10,11,14,3,2,,,
,P. Sy GK,FC Metz 2024 ~ 2028,73929,"206cm 6'9""",91kg 201lbs,Right,24,33,27,80,11,46,40,14,16,71,63,64,2,1,,,
,G. Abuashvili LM RM LW,FC Metz 2024 ~ 2030,277979,"175cm 5'9""",72kg 159lbs,Right,75,73,68,58,27,55,68,27,24,7,12,5,3,3,,,
,G. Bernardeau CAM RM CM,OGC Nice 2025 ~ 2029,78765,"181cm 5'11""",75kg 165lbs,Left,66,68,58,65,13,66,67,46,41,9,9,6,3,3,,,
,K. Boudache RM ST RW,OGC Nice 2026 ~ 2028,83396,"175cm 5'9""",65kg 143lbs,Left,75,71,56,39,24,62,70,33,22,6,6,7,2,4,,,
,H. Djibirin RM RW,Angers SCO 2025 ~ 2029,81849,"175cm 5'9""",65kg 143lbs,Left,79,69,64,44,38,61,57,36,22,7,7,8,2,3,,,
,M. Courcoul CDM CM CB,Angers SCO 2023 ~ 2027,277484,"182cm 6'0""",70kg 154lbs,Right,57,56,72,66,67,50,56,71,68,12,8,6,3,2,,,
,F. Mambimbi ST LM RM CAM,Le Havre AC 2025 ~ 2027,247519,"171cm 5'7""",64kg 141lbs,Right,86,86,53,54,24,58,66,22,26,14,5,10,4,3,,,
,R. Riou GK,Paris FC 2024 ~ 2026,168965,"191cm 6'3""",81kg 179lbs,Right,45,53,32,75,28,42,48,13,12,66,66,68,1,1,,,
,J. Lopez LW CAM ST LM,Paris FC 2017 ~ 2029,211240,"173cm 5'8""",68kg 150lbs,Right,73,67,54,48,33,65,67,51,48,16,14,11,2,3,,,
,P. Hamel ST,Paris FC 2022 ~ 2028,236621,"189cm 6'2""",76kg 168lbs,Right,50,40,66,73,24,51,66,20,24,11,14,13,3,2,,,
,T. Pereira Cardoso GK,Borussia Mönchengladbach 2025 ~ 2028,70904,"190cm 6'3""",87kg 192lbs,Right,19,24,23,50,11,50,44,9,9,71,66,65,3,1,,,
,J. Olschowsky GK,Borussia Mönchengladbach 2020 ~ 2027,257273,"184cm 6'0""",83kg 183lbs,Right,22,17,16,42,11,50,38,11,11,69,68,66,3,1,,,
,L. Öztunalı RW CM RM,Hamburger SV 2023 ~ 2030,213134,"184cm 6'0""",81kg 179lbs,Right,74,74,64,71,54,67,67,48,49,10,16,15,3,3,,,
,A. Tape CB,Bayer 04 Leverkusen 2025 ~ 2030,75736,"180cm 5'11""",79kg 174lbs,Right,69,71,55,58,65,57,60,73,71,7,12,5,3,3,,,
,M. Culbreath RM CAM RW,Bayer 04 Leverkusen 2025 ~ 2030,81844,"172cm 5'8""",65kg 143lbs,Right,77,79,55,40,30,62,64,47,51,15,8,11,3,3,,,
,P. Čović CAM RM CM,SV Werder Bremen 2024 ~ 2029,76111,"182cm 6'0""",73kg 161lbs,Right,73,66,54,30,40,68,69,40,36,13,15,8,3,3,,,
,M. Kolke GK,SV Werder Bremen 2024 ~ 2029,211946,"187cm 6'2""",91kg 201lbs,Right,48,40,45,75,21,25,23,17,19,66,65,69,2,1,,,
,L. Rieß GK,1. FSV Mainz 05 2021 ~ 2027,263116,"192cm 6'4""",90kg 198lbs,Right,32,33,22,65,14,34,39,13,13,70,65,67,3,1,,,
,C. Klaus GK,1. FC Union Berlin 2024 ~ 2029,252456,"189cm 6'2""",86kg 190lbs,Right,27,32,31,51,9,47,43,12,10,67,69,65,2,1,,,
,Y. Eduardo ST,TSG 1899 Hoffenheim 2026 ~ 2028,70038,"193cm 6'4""",84kg 185lbs,Left,68,69,62,75,25,51,62,30,22,8,12,13,3,3,,,
,C. Campbell RM RW,"TSG 1899 Hoffenheim Jun 30, 2026 On loan",73057,"170cm 5'7""",68kg 150lbs,Left,87,90,57,36,27,56,61,21,29,6,12,14,3,4,,,
,D. Zeitler ST LW LM,TSG 1899 Hoffenheim 2025 ~ 2029,279116,"180cm 5'11""",74kg 163lbs,Right,72,82,59,60,39,54,61,44,39,10,15,9,4,3,,,
,B. Voll GK,FC St. Pauli 2024 ~ 2029,251433,"195cm 6'5""",86kg 190lbs,Right,24,25,22,67,9,32,59,13,11,68,64,66,3,1,,,
,M. Cocchi LB LM,Inter 2026 ~ 2028,77615,"179cm 5'10""",74kg 163lbs,Left,77,81,66,66,60,58,62,60,58,7,6,10,3,3,,,
,L. Cerri ST,Juventus 2025 ~ 2027,71000,"198cm 6'6""",88kg 194lbs,Right,39,47,55,83,30,51,57,26,22,13,8,6,3,3,,,
,R. Belahyane CM CDM,Lazio 2025 ~ 2029,275163,"169cm 5'7""",53kg 117lbs,Right,69,63,67,38,67,64,65,69,67,7,9,6,3,2,,,
,E. Motta GK,Lazio 2026 ~ 2030,277802,"194cm 6'4""",87kg 192lbs,Right,18,22,24,70,15,40,30,12,14,65,65,65,2,1,,,
,N. Contini GK,Napoli 2015 ~ 2030,220532,"190cm 6'3""",85kg 187lbs,Right,47,49,21,58,19,30,44,14,15,68,66,64,1,1,,,
,A. Vergara RW RM CAM,Napoli 2023 ~ 2027,276706,"185cm 6'1""",77kg 170lbs,Left,70,69,68,57,30,65,58,40,42,15,6,5,3,3,,,
,E. İlkhan CM CDM,Torino 2022 ~ 2030,266257,"175cm 5'9""",68kg 150lbs,Right,68,64,65,33,60,67,65,60,53,8,11,15,3,3,,,
,E. Helland CB RB,Bologna 2026 ~ 2030,278724,"196cm 6'5""",82kg 181lbs,Right,70,70,68,74,64,30,52,67,66,14,13,13,2,2,,,
,Isaac ST,Hellas Verona FC 2026 ~ 2029,74092,"185cm 6'1""",78kg 172lbs,Right,71,63,64,73,26,56,62,33,27,9,6,12,4,3,,,
,A. Edmundsson CB,Hellas Verona FC 2026 ~ 2029,79069,"193cm 6'4""",81kg 179lbs,Left,58,61,60,76,65,40,63,69,64,5,14,12,2,2,,,
,S. Perilli GK,Hellas Verona FC 2022 ~ 2027,210940,"195cm 6'5""",88kg 194lbs,Right,46,45,30,65,23,35,54,15,18,67,67,66,2,1,,,
,K. Bowie ST CAM,Hellas Verona FC 2026 ~ 2030,257104,"190cm 6'3""",84kg 185lbs,Left,71,74,70,84,45,60,63,37,42,12,7,8,3,2,,,
,F. Marchwiński CAM ST CM,Lecce 2024 ~ 2029,246649,"187cm 6'2""",72kg 159lbs,Right,63,67,66,59,42,66,63,38,34,14,10,6,4,3,,,
,N. Čavlina GK,"Como Jun 30, 2026 On loan",270463,"192cm 6'4""",82kg 181lbs,Right,42,41,31,63,14,32,37,13,16,68,59,65,3,1,,,
,L. Pavoletti ST,Cagliari 2017 ~ 2029,205850,"188cm 6'2""",87kg 192lbs,Right,34,45,30,77,27,59,71,29,27,15,6,14,3,2,,,
,N. Fortini LM LB,Fiorentina 2024 ~ 2027,72180,"185cm 6'1""",74kg 163lbs,Right,74,69,78,60,56,53,51,61,62,8,11,6,4,3,,,
,J. Ekhator ST,Genoa 2024 ~ 2029,74485,"188cm 6'2""",80kg 176lbs,Right,69,69,57,56,15,40,58,15,15,13,10,6,3,2,,,
,Alex Amorim CM CDM,Genoa 2026 ~ 2028,79913,"172cm 5'8""",75kg 165lbs,Right,71,63,76,57,55,63,64,64,56,8,14,15,3,3,,,
,S. Otoa CB,Genoa 2025 ~ 2028,271882,"198cm 6'6""",85kg 187lbs,Right,60,68,65,75,68,39,56,68,67,10,6,12,3,2,,,
,E. Akinsanmiro CM CAM CDM,"Pisa Jun 30, 2026 On loan",70471,"184cm 6'0""",70kg 154lbs,Right,75,77,67,76,61,67,67,61,60,7,14,7,3,2,,,
,Nicolas GK,Pisa 2021 ~ 2029,205496,"190cm 6'3""",85kg 187lbs,Right,45,41,32,77,15,47,63,19,13,69,66,65,3,1,,,
,E. Iannoni CM CDM,Sassuolo 2024 ~ 2028,270657,"185cm 6'1""",78kg 172lbs,Right,61,61,69,64,58,66,58,60,61,15,14,14,3,2,,,
,E. Pieragnolo LB LM,Sassuolo 2024 ~ 2027,276705,"184cm 6'0""",72kg 159lbs,Left,68,73,72,59,64,48,50,68,66,5,10,10,4,2,,,
,A. Purić CB,Atlético Madrid 2025 ~ 2029,73558,"196cm 6'5""",85kg 187lbs,Right,67,67,61,85,68,45,49,67,66,11,6,14,3,2,,,
,I. Kostis CB LB,Atlético Madrid 2023 ~ 2027,274208,"192cm 6'4""",81kg 179lbs,Left,53,55,60,78,67,40,60,68,65,11,8,12,3,2,,,
,Pichu Cuéllar GK,RCD Mallorca 2023 ~ 2029,146952,"187cm 6'2""",76kg 168lbs,Left,51,40,38,75,21,47,56,11,15,65,67,66,3,1,,,
,Karrikaburu ST,Real Sociedad 2022 ~ 2027,262513,"183cm 6'0""",82kg 181lbs,Right,69,73,55,74,20,52,59,28,24,13,9,12,3,3,,,
,Mariano ST,Deportivo Alavés 2025 ~ 2027,221639,"180cm 5'11""",76kg 168lbs,Right,64,65,50,71,42,62,65,42,33,12,14,8,4,3,,,
,Manu Bueno CM CAM CDM,Sevilla FC 2022 ~ 2030,275520,"178cm 5'10""",73kg 161lbs,Left,65,59,56,55,65,66,62,64,62,15,12,7,3,3,,,
,Nacho Pérez RB,Levante UD 2025 ~ 2028,80679,"176cm 5'9""",66kg 146lbs,Right,77,80,68,48,59,57,62,67,62,10,14,9,3,2,,,
,Davinchi LB,Getafe CF 2025 ~ 2028,79393,"182cm 6'0""",75kg 165lbs,Left,80,75,68,61,63,45,55,65,63,14,15,15,2,2,,,
,S. Mheuka ST,Chelsea 2024 ~ 2027,77540,"185cm 6'1""",75kg 165lbs,Right,75,74,61,68,29,51,65,29,24,12,13,6,3,3,,,
,A. Aznou LB,Everton 2025 ~ 2029,70448,"178cm 5'10""",70kg 154lbs,Left,78,81,57,47,62,60,55,62,61,15,11,11,3,3,,,
,S. Moore GK,Sunderland 2024 ~ 2028,194150,"191cm 6'3""",83kg 183lbs,Right,48,45,36,57,23,52,49,13,18,67,65,64,3,1,,,
,R. Donovan RM CAM RW,Brentford 2025 ~ 2030,278919,"171cm 5'7""",67kg 148lbs,Left,80,79,53,42,23,62,66,32,26,8,13,6,3,4,,,
,K. Antonio CB,RC Lens 2024 ~ 2028,75319,"183cm 6'0""",75kg 165lbs,Right,60,68,57,68,66,51,63,70,65,5,11,9,3,2,,,
,S. Diaoune LM CAM LW,Lille OSC 2025 ~ 2028,77364,"174cm 5'9""",65kg 143lbs,Right,78,79,58,49,37,61,64,36,31,10,15,6,3,3,,,
,N. Kamara CB,"Olympique Lyonnais Jun 30, 2026 On loan",78216,"185cm 6'1""",76kg 168lbs,Right,63,74,58,62,66,51,64,69,64,14,6,11,3,2,,,
,S. Kango RB,Olympique Lyonnais 2026 ~ 2028,84357,"181cm 5'11""",69kg 152lbs,Right,75,77,66,57,62,38,58,63,67,11,13,12,3,2,,,
,L. Michal LM RM LW,"FC Metz Jun 30, 2026 On loan",70458,"185cm 6'1""",75kg 165lbs,Right,76,73,45,61,16,59,63,28,23,8,12,7,3,3,,,
,Y. Lawson LB LM,FC Metz 2025 ~ 2028,79609,"179cm 5'10""",68kg 150lbs,Left,67,78,74,77,61,42,56,66,70,15,14,13,2,2,,,
,P. Brunner ST LM,AS Monaco 2024 ~ 2028,274126,"185cm 6'1""",77kg 170lbs,Right,69,66,55,65,24,52,59,28,20,10,7,8,4,4,,,
,U. Radaković CB,FC Nantes 2025 ~ 2027,211250,"194cm 6'4""",89kg 196lbs,Right,38,36,48,85,62,42,59,67,65,6,8,11,2,2,,,
,Y. Zabiri ST,Stade Rennais FC 2026 ~ 2029,74698,"177cm 5'10""",67kg 148lbs,Left,71,73,58,51,23,54,61,23,13,12,10,12,3,3,,,
,T. Nnadi CDM CM CB,Olympique de Marseille 2026 ~ 2030,78424,"176cm 5'9""",67kg 148lbs,Right,72,69,78,63,64,52,62,66,69,11,12,7,3,2,,,
,J. Vignolo ST RW,Toulouse FC 2025 ~ 2029,80771,"185cm 6'1""",75kg 165lbs,Right,72,76,59,68,24,53,61,26,21,6,6,7,3,3,,,
,Álex Domínguez GK,Toulouse FC 2023 ~ 2027,243201,"186cm 6'1""",82kg 181lbs,Left,39,47,36,41,15,38,43,17,10,67,65,63,2,1,,,
,M. Albert LM CAM RM LW,Borussia Dortmund 2026 ~ 2028,80873,"179cm 5'10""",67kg 148lbs,Right,79,73,49,32,34,63,60,22,28,7,6,11,4,4,,,
,S. Inacio CAM ST,Borussia Dortmund 2026 ~ 2029,83748,"176cm 5'9""",69kg 152lbs,Right,78,67,54,40,39,61,63,29,32,7,12,15,3,4,,,
,L. Reggiani CB,Borussia Dortmund 2026 ~ 2028,83751,"194cm 6'4""",78kg 172lbs,Right,58,65,51,67,60,31,65,69,68,12,10,13,3,2,,,
,F. Baldé LW RW LM,Hamburger SV 2024 ~ 2029,74102,"182cm 6'0""",75kg 165lbs,Right,83,83,54,64,28,57,60,35,34,12,9,8,2,3,,,
,S. Adamyan ST CAM LM,1. FC Köln 2022 ~ 2030,218534,"184cm 6'0""",75kg 165lbs,Right,71,67,65,67,22,64,62,25,26,14,15,15,3,4,,,
,N. Lomb GK,Bayer 04 Leverkusen 2012 ~ 2027,210366,"186cm 6'1""",83kg 183lbs,Right,38,39,40,68,17,27,37,12,16,68,58,63,3,1,,,
,S. Drljača GK,VfB Stuttgart 2024 ~ 2027,258864,"193cm 6'4""",89kg 196lbs,Right,24,42,30,78,15,46,44,9,12,68,62,64,3,1,,,
,J. Diehl LM CAM RM LW,VfB Stuttgart 2024 ~ 2029,273667,"174cm 5'9""",67kg 148lbs,Right,87,91,55,39,19,59,51,17,20,7,6,12,3,3,,,
,Jeremy ST CAM,VfB Stuttgart 2026 ~ 2031,277742,"182cm 6'0""",88kg 194lbs,Left,78,70,63,65,19,52,56,20,21,13,10,5,3,3,,,
,N. Tauer CDM CM CB,1. FSV Mainz 05 2019 ~ 2029,253474,"183cm 6'0""",74kg 163lbs,Right,68,65,67,70,68,46,53,65,68,12,6,9,3,2,,,
,Cleiton CB,VfL Wolfsburg 2026 ~ 2030,82663,"194cm 6'4""",78kg 172lbs,Left,61,58,55,75,63,33,46,71,65,12,5,11,2,2,,,
,L. Đurić CM CDM,TSG 1899 Hoffenheim 2025 ~ 2028,76924,"180cm 5'11""",75kg 165lbs,Right,65,60,66,59,58,69,49,61,61,12,7,13,3,3,,,
,A. Ceesay ST,FC St. Pauli 2025 ~ 2028,76228,"185cm 6'1""",79kg 174lbs,Right,78,70,48,76,22,49,53,27,18,5,9,11,3,2,,,
,M. Lavelli ST,Inter 2026 ~ 2029,82087,"185cm 6'1""",78kg 172lbs,Right,70,74,60,72,33,60,63,40,25,7,12,9,3,3,,,
,A. Przyborek CAM RM RW CM,Lazio 2026 ~ 2030,274444,"184cm 6'0""",73kg 161lbs,Right,76,76,67,62,26,66,52,27,28,12,8,11,3,3,,,
,M. Troilo CB,Parma 2025 ~ 2030,278436,"194cm 6'4""",86kg 190lbs,Right,34,51,58,90,62,33,52,65,60,9,14,12,3,2,,,
,F. Cham RB,Hellas Verona FC 2025 ~ 2029,80861,"185cm 6'1""",80kg 176lbs,Right,72,78,54,75,64,45,56,71,72,6,7,8,3,2,,,
,M. Pérez CB,Lecce 2025 ~ 2028,80006,"192cm 6'4""",87kg 192lbs,Right,59,55,61,80,61,36,50,74,71,11,10,12,2,2,,,
,C. Ndaba LB CB CM,Lecce 2025 ~ 2028,247528,"188cm 6'2""",82kg 181lbs,Left,68,71,78,84,62,48,56,64,61,13,15,15,3,2,,,
,A. Sherri GK,Cagliari 2024 ~ 2027,73838,"197cm 6'6""",93kg 205lbs,Right,45,43,35,69,8,35,54,14,14,69,63,64,3,1,,,
,J. Liteta CM CDM,Cagliari 2025 ~ 2030,80407,"175cm 5'9""",70kg 154lbs,Right,73,65,74,65,69,63,62,68,65,10,14,12,3,3,,,
,M. Højholt CDM CM,Pisa 2024 ~ 2027,253464,"182cm 6'0""",67kg 148lbs,Right,63,64,71,57,64,62,72,64,61,10,10,6,3,2,,,
,D. Bakola CAM CM,Sassuolo 2026 ~ 2030,72098,"178cm 5'10""",70kg 154lbs,Right,67,61,55,73,54,71,63,64,52,13,6,8,3,3,,,
,G. Satalino GK,Sassuolo 2018 ~ 2028,235806,"188cm 6'2""",75kg 165lbs,Right,24,16,19,51,13,30,41,10,10,68,64,66,2,1,,,
