Unnamed: 0,Name,Age,Overall rating,Potential,Team & Contract,ID,Height,Weight,foot,Value,Wage,Acceleration,Sprint speed,Stamina,Strength,Interceptions,Vision,Composure,Standing tackle,Sliding tackle,GK Diving,GK Handling,GK Positioning,Weak foot,Skill moves,Attacking work rate,Defensive work rate,Unnamed: 28
,S. Lacey RM RW,18,65,84,Manchester United 2025 ~ 2027,278124,"167cm 5'6""",65kg 143lbs,Left,€1.8M,€13K,88,85,57,38,34,60,67,38,29,15,7,6,3,4,,,
,A. Murphy LB CB LM,21,65,79,Newcastle United 2022 ~ 2028,270617,"188cm 6'2""",76kg 168lbs,Left,€1.7M,€17K,65,66,67,75,63,45,60,67,63,13,7,11,4,2,,,
,A. Ba RW LW RM,21,65,68,Sunderland 2022 ~ 2027,262149,"174cm 5'9""",70kg 154lbs,Right,€1M,€12K,78,69,64,61,56,63,62,57,53,5,14,7,3,3,,,
,T. Edozie RW CAM RM,19,65,78,Wolverhampton Wanderers 2024 ~ 2027,75772,"178cm 5'10""",68kg 150lbs,Right,€1.7M,€12K,79,78,60,58,35,59,63,38,25,12,7,9,3,3,,,
,F. Sylla CM CDM,19,65,78,RC Lens 2025 ~ 2028,277935,"182cm 6'0""",78kg 172lbs,Right,€1.7M,€5K,53,65,62,70,63,65,64,65,62,11,11,15,2,3,,,
,O. Touré CB,20,65,77,Lille OSC 2023 ~ 2028,278261,"187cm 6'2""",75kg 165lbs,Right,€1.6M,€6K,66,75,58,70,64,43,62,68,64,6,8,12,2,2,,,
,A. Laâziri LB LM,21,65,74,Olympique Lyonnais 2022 ~ 2027,276747,"177cm 5'10""",70kg 154lbs,Left,€1.5M,€4K,75,73,62,50,59,56,62,62,59,6,5,5,3,3,,,
,Y. Lienard GK,22,65,75,AS Monaco 2021 ~ 2027,271661,"194cm 6'4""",80kg 176lbs,Right,€1.4M,€4K,23,22,27,66,7,31,36,13,11,65,61,63,3,1,,,
,M. Silistrie GK,19,65,77,Stade Rennais FC 2025 ~ 2029,80803,"187cm 6'2""",68kg 150lbs,Left,€1.5M,€2K,27,38,27,52,15,42,34,16,13,68,62,59,2,1,,,
,S. Bajic GK,23,65,70,RC Strasbourg Alsace 2025 ~ 2028,245865,"188cm 6'2""",84kg 185lbs,Right,€875K,€6K,28,20,29,41,10,43,25,12,9,66,65,64,3,1,,,
,M. Zinga GK,23,65,73,Angers SCO 2022 ~ 2029,257395,"187cm 6'2""",76kg 168lbs,Left,€1.4M,€2K,24,24,28,42,13,44,23,14,12,65,67,64,2,1,,,
,S. Zagadou CB,16,65,79,Le Havre AC 2025 ~ 2028,77826,"186cm 6'1""",78kg 172lbs,Right,€1.5M,€2K,55,67,46,68,59,44,54,69,64,10,8,5,3,2,,,
,E. Koffi LB LM,19,65,77,Le Havre AC 2025 ~ 2026,81595,"175cm 5'9""",65kg 143lbs,Left,€1.6M,€3K,78,74,64,57,57,43,62,66,68,12,8,13,3,3,,,
,S. Koumbassa CB,18,65,78,Toulouse FC 2025 ~ 2030,80695,"194cm 6'4""",82kg 181lbs,Right,€1.6M,€4K,53,65,58,78,59,32,58,69,61,12,15,11,3,2,,,
,S. Alakouch RB RM,26,65,66,Paris FC 2024 ~ 2028,233767,"175cm 5'9""",66kg 146lbs,Right,€775K,€12K,67,64,66,59,64,63,64,63,60,6,12,11,3,3,,,
,F. Mane CB RB,20,65,79,Borussia Dortmund 2024 ~ 2028,73016,"188cm 6'2""",77kg 170lbs,Right,€1.6M,€8K,66,69,46,69,66,39,56,66,64,13,12,9,3,2,,,
,A. Kabar LB,19,65,80,Borussia Dortmund 2024 ~ 2028,278854,"181cm 5'11""",74kg 163lbs,Left,€1.6M,€7K,77,77,60,75,59,49,59,62,60,10,7,8,3,3,,,
,K. Bos LB LM,21,65,75,1. FSV Mainz 05 2025 ~ 2029,70909,"186cm 6'1""",76kg 168lbs,Left,€1.5M,€6K,74,72,37,65,63,45,50,68,67,13,15,6,2,2,,,
,L. Arrhov CAM CM LM,17,65,80,Eintracht Frankfurt 2026 ~ 2028,76519,"178cm 5'10""",70kg 154lbs,Right,€1.6M,€5K,75,71,67,52,50,64,58,54,57,7,11,12,3,3,,,
,L. Engelns CM RM CDM,18,65,80,TSG 1899 Hoffenheim 2026 ~ 2027,71925,"188cm 6'2""",74kg 163lbs,Right,€1.7M,€6K,67,56,69,56,63,66,54,57,54,9,13,5,3,2,,,
,L. Erlein RB CB RM,17,65,78,TSG 1899 Hoffenheim 2025 ~ 2030,76923,"190cm 6'3""",76kg 168lbs,Right,€1.6M,€5K,62,58,66,69,61,35,52,66,64,8,7,12,4,2,,,
,J. Robatsch CB LB,20,65,76,FC St. Pauli 2025 ~ 2030,276964,"190cm 6'3""",78kg 172lbs,Left,€1.5M,€5K,65,68,55,68,62,52,56,67,66,15,8,7,3,2,,,
,R. Obrić CB,19,65,76,Atalanta 2025 ~ 2028,76955,"194cm 6'4""",85kg 187lbs,Left,€1.4M,€10K,52,56,51,74,61,29,51,66,61,13,14,11,3,2,,,
,L. Topalovič CM CAM,19,65,78,Inter 2025 ~ 2029,76429,"187cm 6'2""",75kg 165lbs,Right,€1.7M,€6K,65,68,56,60,56,62,61,59,48,14,10,10,3,3,,,
,A. Taho GK,18,65,80,Inter 2025 ~ 2030,77523,"193cm 6'4""",75kg 165lbs,Left,€1.4M,€2K,30,30,21,56,13,30,45,15,10,62,62,66,3,1,,,
,Cristo Muñoz CAM CM,20,65,75,Lazio 2024 ~ 2027,73162,"175cm 5'9""",70kg 154lbs,Right,€1.6M,€7K,69,67,51,50,59,65,74,59,56,10,14,12,3,3,,,
,D. Odogu CB,19,65,83,AC Milan 2025 ~ 2029,73286,"191cm 6'3""",83kg 183lbs,Right,€1.7M,€8K,63,71,60,74,65,35,45,69,65,6,12,9,3,2,,,
,Z. Athekame RB CM,20,65,78,AC Milan 2025 ~ 2030,279782,"181cm 5'11""",74kg 163lbs,Right,€1.6M,€8K,81,82,64,77,60,38,46,60,63,13,8,13,3,2,,,
,S. Britschgi RB LB RM,18,65,75,Parma 2025 ~ 2030,75647,"182cm 6'0""",78kg 172lbs,Right,€1.4M,€4K,69,65,60,57,61,33,50,67,65,11,8,13,2,2,,,
,A. Njie ST LW LM,20,65,77,Torino 2024 ~ 2027,70480,"177cm 5'10""",70kg 154lbs,Right,€1.7M,€8K,78,77,65,43,20,54,55,23,19,6,12,7,3,2,,,
,B. Mlačić CB,18,65,80,Udinese 2026 ~ 2031,80380,"192cm 6'4""",85kg 187lbs,Right,€1.6M,€3K,58,63,61,77,65,50,65,66,65,10,10,14,3,2,,,
,D. Padelli GK,39,65,65,Udinese 2021 ~ 2030,162297,"191cm 6'3""",82kg 181lbs,Right,€80K,€2K,49,39,30,45,13,40,69,12,12,62,65,70,2,1,,,
,S. Fofana CDM CB CM,22,65,72,Lecce 2026 ~ 2027,263949,"192cm 6'4""",78kg 172lbs,Right,€1.4M,€3K,65,73,65,79,61,52,53,68,67,15,5,9,3,2,,,
,F. Camarda ST,17,65,87,"Lecce Jun 30, 2026 On loan",279202,"184cm 6'0""",77kg 170lbs,Right,€2.3M,€7K,65,68,55,58,22,48,58,22,16,11,9,12,3,3,,,
,Lorran CAM CM,18,65,80,Pisa 2025 ~ 2028,81307,"180cm 5'11""",74kg 163lbs,Left,€1.7M,€2K,68,69,61,61,30,56,60,34,33,12,7,11,3,3,,,
,F. Folino CB,23,65,73,Cremonese 2025 ~ 2028,74448,"192cm 6'4""",85kg 187lbs,Right,€1.5M,€3K,59,62,66,81,62,39,48,63,62,13,13,10,3,2,,,
,Fran González GK,20,65,82,Real Madrid 2024 ~ 2030,278394,"199cm 6'6""",72kg 159lbs,Right,€1.7M,€12K,16,19,25,66,11,35,36,14,10,64,63,65,3,1,,,
,Hugo González RM LM RW,22,65,74,RC Celta 2025 ~ 2028,277649,"177cm 5'10""",73kg 161lbs,Right,€1.6M,€7K,70,68,61,53,37,56,55,33,31,9,9,10,4,3,,,
,Fortuño GK,23,65,73,RCD Espanyol 2020 ~ 2027,258948,"183cm 6'0""",77kg 170lbs,Right,€1.4M,€3K,44,40,31,55,9,48,40,14,10,63,64,65,3,1,,,
,J. Kalumba LM LB RM LW,20,65,75,RCD Mallorca 2026 ~ 2029,275024,"182cm 6'0""",75kg 165lbs,Left,€1.6M,€6K,71,65,54,53,52,56,63,52,46,10,10,8,2,3,,,
,Cristian Rivero GK,27,65,67,Valencia CF 2017 ~ 2027,241179,"188cm 6'2""",75kg 165lbs,Right,€650K,€6K,25,29,23,55,15,34,47,10,11,65,62,62,3,1,,,
,Buba Sangaré RB CB,17,65,79,"Elche CF Jun 30, 2026 On loan",279200,"183cm 6'0""",67kg 148lbs,Right,€1.6M,€6K,78,80,62,47,62,48,56,59,62,12,10,11,3,2,,,
,Alberto Flores GK,21,65,77,Sevilla FC 2022 ~ 2027,272427,"187cm 6'2""",80kg 176lbs,Left,€1.5M,€3K,33,25,26,61,10,34,30,11,12,65,66,63,3,1,,,
,Pau Cabanes ST RM,20,65,78,Villarreal CF 2024 ~ 2028,73990,"179cm 5'10""",72kg 159lbs,Right,€1.7M,€8K,55,69,53,49,25,57,52,22,15,11,12,14,3,3,,,
,Lass Kourouma CM CAM CDM,21,65,74,Girona FC 2025 ~ 2028,72269,"180cm 5'11""",74kg 163lbs,Right,€1.6M,€6K,60,62,68,64,61,66,51,59,52,8,14,6,3,3,,,
,T. Sharman-Lowe GK,22,64,74,Chelsea 2020 ~ 2028,257126,"193cm 6'4""",87kg 192lbs,Right,€1.1M,€11K,40,40,25,62,13,48,40,13,13,63,63,63,3,1,,,
,T. King GK,30,64,64,Everton 2025 ~ 2027,225650,"194cm 6'4""",80kg 176lbs,Right,€400K,€7K,40,44,32,73,13,45,42,17,20,64,63,63,3,1,,,
,Á. Pécsi GK,20,64,78,Liverpool 2025 ~ 2030,79922,"190cm 6'3""",85kg 187lbs,Right,€1.2M,€7K,49,54,21,62,11,29,32,10,14,64,62,63,2,1,,,
,D. León LB LM,18,64,83,Manchester United 2025 ~ 2030,74142,"177cm 5'10""",67kg 148lbs,Left,€1.4M,€11K,82,83,68,65,60,57,66,60,58,9,8,12,2,2,,,
,H. Howell RM CAM RW,17,64,82,Brighton & Hove Albion 2025 ~ 2028,78227,"180cm 5'11""",70kg 154lbs,Left,€1.5M,€10K,75,74,56,49,29,64,61,31,26,12,8,8,3,3,,,
,M. Goffi CB RB,17,64,77,Lille OSC 2025 ~ 2028,80688,"180cm 5'11""",72kg 159lbs,Right,€1.2M,€3K,61,67,52,67,64,46,58,67,64,7,8,13,3,2,,,
,L. Diarra GK,22,64,74,Olympique Lyonnais 2023 ~ 2027,77093,"190cm 6'3""",80kg 176lbs,Right,€1.1M,€3K,33,36,25,62,7,25,28,11,14,65,60,63,3,1,,,
,A. Hamdani LM LW,16,64,79,Olympique Lyonnais 2025 ~ 2028,82335,"174cm 5'9""",61kg 134lbs,Right,€1.3M,€3K,78,73,51,38,28,57,67,41,35,13,10,14,3,3,,,
,N. Mbala LM RM LW,17,64,77,FC Metz 2026 ~ 2029,83564,"179cm 5'10""",68kg 150lbs,Left,€1.3M,€2K,69,75,57,65,18,54,59,36,33,8,11,10,2,3,,,
,S. Doucouré CB,20,64,77,FC Nantes 2024 ~ 2027,75316,"187cm 6'2""",79kg 174lbs,Right,€1.3M,€3K,52,68,59,66,63,29,48,70,66,9,11,13,3,2,,,
,B. Deuff CDM CM,19,64,79,FC Nantes 2025 ~ 2029,79513,"196cm 6'5""",85kg 187lbs,Right,€1.3M,€3K,58,71,54,87,55,57,67,68,66,11,12,15,3,3,,,
,Everton CDM CM,18,64,77,OGC Nice 2026 ~ 2029,75925,"179cm 5'10""",65kg 143lbs,Right,€1.3M,€4K,60,61,63,59,61,48,59,67,58,7,12,14,3,2,,,
,Z. Diallo ST,20,64,75,OGC Nice 2025 ~ 2028,82740,"185cm 6'1""",76kg 168lbs,Right,€1.3M,€6K,75,79,57,81,16,43,54,22,14,10,9,14,3,2,,,
,N. Nsoki LW RW LM,18,64,79,Paris Saint-Germain 2025 ~ 2027,82991,"179cm 5'10""",66kg 146lbs,Right,€1.4M,€12K,78,75,47,52,24,56,63,34,27,11,13,13,3,3,,,
,N. Mukiele LM ST LW,19,64,78,Stade Rennais FC 2025 ~ 2028,80804,"184cm 6'0""",72kg 159lbs,Right,€1.4M,€5K,73,68,57,61,25,55,58,29,18,9,11,15,4,3,,,
,T. Mmadi LM CAM LW,18,64,75,Olympique de Marseille 2025 ~ 2028,82083,"180cm 5'11""",67kg 148lbs,Right,€1.2M,€6K,74,70,51,49,39,62,52,47,41,9,15,11,4,3,,,
,R. Le Guen CB,18,64,76,Stade Brestois 29 2025 ~ 2029,76035,"196cm 6'5""",79kg 174lbs,Right,€1.3M,€4K,58,67,51,80,58,29,47,69,61,14,8,6,2,2,,,
,H. Makalou CDM CM,18,64,81,Stade Brestois 29 2025 ~ 2029,77829,"164cm 5'5""",58kg 128lbs,Right,€1.4M,€4K,63,60,64,46,62,57,61,68,64,12,11,7,3,2,,,
,K. Quetant ST CAM,18,64,76,Le Havre AC 2025 ~ 2028,82739,"189cm 6'2""",73kg 161lbs,Right,€1.4M,€3K,64,73,58,68,22,46,56,34,21,15,14,13,3,3,,,
,L. Gueye RW RM,27,64,64,Paris FC 2023 ~ 2029,256689,"178cm 5'10""",74kg 163lbs,Right,€625K,€12K,70,68,51,56,19,59,63,23,18,6,10,13,3,3,,,
,A. Sarco ST,19,64,81,"Borussia Mönchengladbach Jun 30, 2026 On loan",71101,"179cm 5'10""",76kg 168lbs,Left,€1.5M,€12K,78,67,55,68,23,54,57,27,24,12,15,5,3,3,,,
,T. Sippel GK,37,64,64,Borussia Mönchengladbach 2015 ~ 2027,177475,"183cm 6'0""",80kg 176lbs,Right,€60K,€3K,50,42,41,65,15,31,41,15,12,60,60,64,2,1,,,
,O. Stange ST LM,18,64,81,Hamburger SV 2024 ~ 2028,279213,"187cm 6'2""",82kg 181lbs,Right,€1.5M,€5K,61,64,54,67,14,51,57,20,11,11,5,15,3,3,,,
,L. Jovanović RM LM RW,18,64,82,VfB Stuttgart 2025 ~ 2029,79300,"184cm 6'0""",76kg 168lbs,Left,€1.5M,€6K,77,74,52,48,27,69,55,26,29,13,8,7,3,3,,,
,T. Chandler RB RM,35,64,64,Eintracht Frankfurt 2014 ~ 2029,202316,"187cm 6'2""",84kg 185lbs,Right,€180K,€6K,43,34,35,76,67,65,68,70,66,12,7,11,4,2,,,
,L. Petersson GK,21,64,70,TSG 1899 Hoffenheim 2024 ~ 2027,73072,"195cm 6'5""",96kg 212lbs,Right,€775K,€3K,38,30,27,66,7,39,34,10,10,68,60,63,2,1,,,
,U. Ogundu ST,19,64,77,FC Augsburg 2026 ~ 2031,80729,"188cm 6'2""",80kg 176lbs,Right,€1.4M,€7K,58,53,58,78,12,50,47,25,23,6,8,9,3,3,,,
,A. Thomas LW ST LM,17,64,84,RB Leipzig 2026 ~ 2031,83629,"188cm 6'2""",78kg 172lbs,Right,€1.6M,€7K,79,76,52,53,28,61,65,40,35,6,12,12,4,3,,,
,N. Elphege ST,24,64,67,Parma 2026 ~ 2030,275130,"196cm 6'5""",82kg 181lbs,Left,€800K,€5K,52,68,66,88,24,54,56,32,18,15,14,7,3,2,,,
,R. Żelezny GK,18,64,78,Roma 2025 ~ 2029,80045,"193cm 6'4""",78kg 172lbs,Left,€1.2M,€3K,25,32,19,64,7,35,27,13,13,63,68,64,2,1,,,
,D. Oyegoke CB RB RM,22,64,74,Hellas Verona FC 2025 ~ 2028,262930,"188cm 6'2""",85kg 187lbs,Right,€1.2M,€3K,72,79,52,63,62,44,54,69,66,8,6,6,3,2,,,
,O. Ngom CM CDM,21,64,74,Lecce 2026 ~ 2029,266848,"184cm 6'0""",75kg 165lbs,Right,€1.3M,€3K,59,61,78,72,62,63,67,66,63,6,11,14,3,2,,,
,M. Vigorito GK,35,64,64,Como 2023 ~ 2028,186611,"187cm 6'2""",79kg 174lbs,Right,€60K,€7K,38,40,32,55,26,35,51,13,12,63,63,65,2,1,,,
,N. Zätterström CB,20,64,78,"Genoa Jun 30, 2026 On loan",71553,"192cm 6'4""",84kg 185lbs,Left,€1.3M,€10K,65,81,73,83,63,50,64,59,58,9,13,14,2,2,,,
,Salvi Esquivel GK,19,64,78,Atlético Madrid 2024 ~ 2027,80673,"190cm 6'3""",85kg 187lbs,Left,€1.2M,€4K,15,15,17,56,13,36,37,14,13,63,63,62,1,1,,,
,Javi Boñar RB CB,20,64,78,Atlético Madrid 2023 ~ 2028,82681,"180cm 5'11""",75kg 165lbs,Right,€1.3M,€9K,74,69,65,60,60,56,53,60,54,8,13,6,2,2,,,
,Julio Díaz LB LM,20,64,78,Atlético Madrid 2024 ~ 2028,82936,"174cm 5'9""",70kg 154lbs,Left,€1.3M,€9K,74,72,65,54,60,57,59,63,60,6,6,13,2,3,,,
,Toni Fernández RW RM,16,64,83,FC Barcelona 2025 ~ 2027,75156,"174cm 5'9""",73kg 161lbs,Left,€1.5M,€11K,75,73,56,51,20,60,60,23,17,5,5,13,2,4,,,
,Víctor Valdepeñas CB LB LM,18,64,81,Real Madrid 2025 ~ 2029,77851,"188cm 6'2""",75kg 165lbs,Left,€1.4M,€19K,67,69,62,73,59,48,53,66,60,12,15,6,2,2,,,
,César Palacios CAM CM ST,20,64,78,Real Madrid 2023 ~ 2027,83235,"179cm 5'10""",73kg 161lbs,Right,€1.4M,€24K,63,66,51,49,44,66,57,53,42,10,13,11,3,3,,,
,Manuel Ángel CM CDM CAM,21,64,75,Real Madrid 2023 ~ 2027,84290,"170cm 5'7""",60kg 132lbs,Right,€1.3M,€23K,70,67,64,39,49,65,67,52,50,11,12,9,5,3,,,
,Marc Vidal GK,25,64,68,RC Celta 2025 ~ 2028,264167,"185cm 6'1""",74kg 163lbs,Right,€650K,€4K,31,29,19,42,10,37,29,11,11,62,63,60,3,1,,,
,Tristán GK,23,64,72,RCD Espanyol 2025 ~ 2030,279605,"188cm 6'2""",73kg 161lbs,Right,€1.1M,€3K,26,31,35,50,12,49,26,13,12,61,64,61,4,1,,,
,Rubén Iranzo CB RB,22,64,73,Valencia CF 2024 ~ 2027,266031,"182cm 6'0""",69kg 152lbs,Right,€1.2M,€8K,65,59,64,64,63,53,58,65,64,8,6,9,3,2,,,
,Mauro CDM CM,20,64,73,CA Osasuna 2023 ~ 2028,80805,"176cm 5'9""",69kg 152lbs,Left,€1.2M,€6K,66,64,64,58,62,59,56,66,63,12,9,12,3,2,,,
,Diego Méndez CDM CM,21,64,72,Rayo Vallecano 2021 ~ 2030,272486,"182cm 6'0""",75kg 165lbs,Right,€1.2M,€4K,56,66,52,64,65,56,55,66,66,7,7,13,3,2,,,
,Miguel Sierra RW LW RM,20,64,74,Sevilla FC 2024 ~ 2029,80682,"181cm 5'11""",70kg 154lbs,Left,€1.3M,€6K,75,68,51,46,26,60,56,38,27,8,7,13,3,3,,,
,I. Bekhoucha RB,20,64,75,Getafe CF 2025 ~ 2028,73375,"180cm 5'11""",69kg 152lbs,Right,€1.2M,€6K,75,77,73,60,58,49,54,59,58,9,5,10,2,2,,,
,V. Krapyvtsov GK,20,64,78,Girona FC 2024 ~ 2029,76012,"190cm 6'3""",70kg 154lbs,Right,€1.2M,€3K,35,31,25,40,12,35,33,10,12,64,64,64,3,1,,,
,Marco Esteban CB RB,19,64,75,Real Oviedo 2025 ~ 2028,277421,"183cm 6'0""",75kg 165lbs,Right,€1.2M,€5K,64,65,57,66,63,58,62,64,63,15,12,11,3,2,,,
,S. Chambers CAM RM CM,17,63,79,Leeds United 2025 ~ 2028,74145,"183cm 6'0""",68kg 150lbs,Right,€1.2M,€7K,74,73,52,54,48,63,61,47,45,6,13,6,3,3,,,
,A. Cairns GK,32,63,63,Leeds United 2024 ~ 2029,203215,"183cm 6'0""",72kg 159lbs,Left,€240K,€8K,49,48,23,39,15,46,45,11,11,63,61,62,3,1,,,
,J. Fletcher CM CDM CAM,18,63,81,Manchester United 2024 ~ 2027,75439,"180cm 5'11""",78kg 172lbs,Left,€1.2M,€10K,69,68,59,62,56,64,62,59,54,5,9,5,4,3,,,
,Z. Abbott CB RB,19,63,78,Nottingham Forest 2022 ~ 2029,74242,"186cm 6'1""",78kg 172lbs,Right,€1.1M,€11K,62,64,57,74,62,46,58,64,62,12,6,13,3,2,,,
,E. González LW RW CAM LM,20,63,75,Wolverhampton Wanderers 2023 ~ 2029,274377,"169cm 5'7""",69kg 152lbs,Left,€1.2M,€11K,85,75,49,33,26,63,51,36,47,13,12,9,2,4,,,
,E. Agyei RM RW,20,63,75,Burnley 2023 ~ 2027,273927,"172cm 5'8""",68kg 150lbs,Left,€1.2M,€9K,78,77,60,56,18,59,56,28,25,9,7,7,2,3,,,
,R. Matthews GK,31,63,63,Crystal Palace 2021 ~ 2027,203824,"192cm 6'4""",78kg 172lbs,Right,€250K,€10K,44,47,29,66,15,39,34,15,17,64,63,62,3,1,,,
,K. Furo ST,18,63,83,Brentford 2026 ~ 2031,75452,"190cm 6'3""",80kg 176lbs,Right,€1.3M,€11K,66,76,57,75,25,52,56,29,25,8,13,11,4,2,,,
,E. Balcombe GK,25,63,67,Brentford 2016 ~ 2027,236663,"190cm 6'3""",92kg 203lbs,Right,€525K,€8K,39,39,28,64,18,50,24,10,13,64,62,60,3,1,,,
,T. Siwe CB,20,63,78,AJ Auxerre 2025 ~ 2027,78215,"180cm 5'11""",70kg 154lbs,Right,€1.1M,€4K,63,58,54,72,56,37,55,69,64,9,6,6,2,2,,,
,Rafael Fernandes CB,23,63,74,Lille OSC 2024 ~ 2028,271317,"191cm 6'3""",83kg 183lbs,Right,€1M,€6K,55,42,50,73,61,32,46,68,64,9,9,6,3,2,,,
,O. Ba GK,23,63,73,FC Metz 2025 ~ 2027,261170,"185cm 6'1""",74kg 163lbs,Right,€925K,€2K,29,28,22,56,11,27,29,10,12,65,62,59,2,1,,,
,P. Cabral CDM CM,18,63,78,AS Monaco 2025 ~ 2028,81663,"180cm 5'11""",68kg 150lbs,Right,€1.1M,€4K,66,62,62,60,63,62,62,64,60,5,10,13,3,2,,,
,B. Mantsounga CB,17,63,75,OGC Nice 2025 ~ 2028,82109,"182cm 6'0""",75kg 165lbs,Left,€1M,€3K,57,62,57,75,58,34,59,68,63,9,8,11,2,2,,,
,M. Jangeal CAM CM,17,63,79,Paris Saint-Germain 2024 ~ 2028,81659,"180cm 5'11""",75kg 165lbs,Right,€1.2M,€8K,68,69,47,48,44,63,63,49,41,7,6,6,3,3,,,
,D. Lucea CB LB,18,63,78,Paris Saint-Germain 2026 ~ 2027,85652,"189cm 6'2""",77kg 170lbs,Left,€1M,€9K,63,67,59,64,57,34,56,68,63,8,14,7,2,2,,,
,L. Rosier LM LW,18,63,80,Stade Rennais FC 2024 ~ 2028,82084,"171cm 5'7""",61kg 134lbs,Right,€1.2M,€4K,85,78,52,44,26,55,67,28,22,12,5,12,3,3,,,
,A. Cissé CB RB,19,63,73,RC Strasbourg Alsace 2024 ~ 2028,75811,"183cm 6'0""",73kg 161lbs,Right,€975K,€7K,57,60,57,62,65,27,43,66,62,9,6,12,2,2,,,
,B. Fadiga CM CAM CDM,24,63,68,FC Lorient 2024 ~ 2028,250822,"178cm 5'10""",70kg 154lbs,Right,€725K,€4K,68,65,66,38,61,62,66,63,51,12,14,15,3,3,,,
,D. Mosengo CM CDM,18,63,76,Le Havre AC 2024 ~ 2027,73624,"188cm 6'2""",72kg 159lbs,Right,€1.1M,€2K,53,52,50,59,61,62,60,63,56,7,15,6,2,2,,,
,M. Dao RW ST RM,18,63,77,Paris FC 2026 ~ 2028,71614,"175cm 5'9""",64kg 141lbs,Right,€1.1M,€7K,78,83,52,63,19,48,62,18,14,11,5,11,3,3,,,
,D. Krevsun CAM CM RB,20,63,77,Borussia Dortmund 2026 ~ 2028,71928,"176cm 5'9""",65kg 143lbs,Right,€1.2M,€7K,79,67,56,34,41,64,62,44,49,15,14,11,3,3,,,
,S. Ostrzinski GK,21,63,75,Borussia Dortmund 2021 ~ 2027,266906,"198cm 6'6""",93kg 205lbs,Right,€1M,€3K,26,34,29,68,11,31,34,9,13,65,60,62,2,1,,,
,K. Steinmann RB LB LM,19,63,74,SC Freiburg 2025 ~ 2028,82862,"186cm 6'1""",81kg 179lbs,Right,€1M,€4K,62,66,53,66,61,45,56,66,63,15,7,11,4,2,,,
,A. Røssing-Lelesiit LW RM LM,18,63,80,Hamburger SV 2025 ~ 2030,72319,"184cm 6'0""",69kg 152lbs,Right,€1.2M,€4K,72,76,36,37,17,54,53,22,30,13,13,8,3,4,,,
,M. Herwerth CB,19,63,77,VfB Stuttgart 2025 ~ 2027,72553,"191cm 6'3""",84kg 185lbs,Left,€1.1M,€6K,48,58,59,74,59,33,54,69,62,9,13,8,3,2,,,
,F. Hellstern GK,17,63,82,VfB Stuttgart 2025 ~ 2030,79286,"188cm 6'2""",82kg 181lbs,Right,€1.1M,€1K,18,19,12,48,8,38,32,10,10,66,60,62,4,1,,,
,N. Darvich CAM CM RM ST,18,63,82,VfB Stuttgart 2025 ~ 2029,275436,"184cm 6'0""",73kg 161lbs,Left,€1.2M,€6K,77,70,59,53,37,61,60,31,29,9,6,7,4,4,,,
,B. Katz LM LW,17,63,80,VfL Wolfsburg 2025 ~ 2027,82425,"183cm 6'0""",68kg 150lbs,Right,€1.2M,€5K,68,67,52,44,32,66,58,23,34,9,10,10,3,3,,,
,J. Grahl GK,36,63,63,Eintracht Frankfurt 2021 ~ 2028,183513,"192cm 6'4""",88kg 194lbs,Right,€50K,€3K,41,48,39,74,23,32,55,13,12,65,60,62,2,1,,,
,A. Markgraf LB LM,19,63,78,1. FC Union Berlin 2025 ~ 2028,80165,"172cm 5'8""",66kg 146lbs,Left,€1.1M,€5K,75,68,61,45,58,48,45,67,65,14,8,7,3,2,,,
,T. Kastanaras ST,22,63,72,FC Augsburg 2026 ~ 2027,269951,"186cm 6'1""",83kg 183lbs,Right,€1.1M,€8K,61,61,55,73,21,56,59,14,16,7,12,11,3,3,,,
,F. Stevens RB RM,22,63,72,FC St. Pauli 2024 ~ 2029,259766,"179cm 5'10""",73kg 161lbs,Right,€1M,€5K,63,62,61,62,62,57,62,58,60,10,11,11,3,2,,,
,A. Kölle CB,19,63,74,1. FC Heidenheim 1846 2025 ~ 2029,79762,"195cm 6'5""",85kg 187lbs,Right,€975K,€5K,57,59,55,77,58,37,49,68,66,13,15,8,3,2,,,
,V. Gebel CAM LM RM CM,17,63,80,RB Leipzig 2024 ~ 2028,74512,"175cm 5'9""",69kg 152lbs,Right,€1.2M,€6K,75,69,50,44,35,63,64,44,42,14,5,13,4,3,,,
,S. Scaglia GK,20,63,74,Juventus 2025 ~ 2028,71001,"196cm 6'5""",85kg 187lbs,Right,€900K,€7K,40,45,24,68,12,40,50,15,10,62,62,63,1,1,,,
,F. Carboni LB LM,22,63,68,"Parma Jun 30, 2026 On loan",270485,"190cm 6'3""",83kg 183lbs,Left,€700K,€6K,63,61,66,65,59,45,55,60,63,6,14,7,2,2,,,
,F. Rinaldi GK,22,63,69,Parma 2025 ~ 2029,278280,"188cm 6'2""",70kg 154lbs,Right,€625K,€2K,23,20,29,53,7,39,33,15,12,62,62,59,3,1,,,
,J. Arizala RM RW,19,63,78,Udinese 2026 ~ 2030,275647,"183cm 6'0""",70kg 154lbs,Left,€1.1M,€3K,81,83,73,47,19,50,48,30,23,7,11,9,3,3,,,
,İ. Vural CM CDM,19,63,79,Pisa 2025 ~ 2028,71296,"183cm 6'0""",65kg 143lbs,Right,€1.2M,€2K,64,59,52,43,56,65,54,50,52,12,14,6,3,2,,,
